epoch,train_loss,train_error,valid_loss,valid_error,test_error
138,0.133734,0.020080,0.26443,0.06690,
139,0.131671,0.019760,0.26544,0.06760,
140,0.133404,0.019820,0.26578,0.06820,
141,0.132152,0.020220,0.26476,0.06760,
142,0.133645,0.020020,0.26491,0.06820,
143,0.129765,0.019480,0.26576,0.06810,
144,0.130102,0.019920,0.26490,0.06770,
145,0.131185,0.020040,0.26577,0.06880,
146,0.129419,0.018860,0.26540,0.06830,
147,0.127034,0.019080,0.26437,0.06800,
148,0.131986,0.019840,0.26533,0.06850,
149,0.131287,0.020240,0.26445,0.06780,
150,0.131074,0.019660,0.26527,0.06820,
151,0.129821,0.019640,0.26453,0.06800,
152,0.131908,0.020040,0.26598,0.06840,
153,0.130666,0.019340,0.26483,0.06850,
154,0.129549,0.019680,0.26442,0.06840,
155,0.128142,0.018920,0.26522,0.06870,
156,0.131266,0.020520,0.26508,0.06800,
157,0.130324,0.018700,0.26461,0.06800,
158,0.132129,0.020400,0.26447,0.06840,
159,0.127807,0.018820,0.26497,0.06830,
160,0.132809,0.021080,0.26405,0.06780,
161,0.131733,0.021140,0.26384,0.06800,
162,0.129909,0.019260,0.26408,0.06800,
163,0.128895,0.019080,0.26446,0.06810,
164,0.127622,0.018560,0.26455,0.06770,
165,0.131928,0.019780,0.26525,0.06760,
166,0.130992,0.020060,0.26378,0.06780,
167,0.131575,0.020920,0.26363,0.06800,
168,0.130775,0.020020,0.26431,0.06760,
169,0.129047,0.018600,0.26549,0.06850,
170,0.130067,0.020280,0.26520,0.06740,
171,0.130779,0.019760,0.26547,0.06780,
172,0.130467,0.019260,0.26433,0.06790,
173,0.129194,0.018980,0.26378,0.06790,
174,0.130191,0.018940,0.26503,0.06790,
175,0.129844,0.018940,0.26444,0.06760,
176,0.129200,0.019440,0.26509,0.06810,
177,0.129587,0.019600,0.26483,0.06800,
178,0.129875,0.018560,0.26523,0.06780,
179,0.128478,0.018700,0.26465,0.06760,
180,0.128674,0.018700,0.26538,0.06800,
181,0.130386,0.019280,0.26626,0.06860,
182,0.128398,0.018400,0.26532,0.06810,
183,0.128841,0.019640,0.26535,0.06780,
184,0.130014,0.019280,0.26479,0.06770,
185,0.130109,0.020140,0.26501,0.06740,
186,0.129032,0.019040,0.26438,0.06730,
187,0.131010,0.019980,0.26480,0.06840,
188,0.130129,0.019180,0.26558,0.06810,
189,0.129952,0.019060,0.26376,0.06750,
190,0.127117,0.018720,0.26420,0.06790,
191,0.126001,0.018400,0.26465,0.06790,
192,0.130935,0.019620,0.26511,0.06790,
193,0.127626,0.018640,0.26575,0.06800,
194,0.129515,0.019060,0.26649,0.06820,
195,0.129173,0.019000,0.26556,0.06760,
196,0.127459,0.018820,0.26625,0.06790,
197,0.125559,0.018440,0.26619,0.06780,
198,0.130318,0.019660,0.26559,0.06780,
199,0.130813,0.019640,0.26533,0.06740,
200,0.127464,0.018760,0.26513,0.06770,
201,0.127412,0.018940,0.26619,0.06810,
202,0.128774,0.019380,0.26582,0.06780,
203,0.128936,0.018840,0.26554,0.06840,
204,0.128986,0.019320,0.26631,0.06840,
205,0.131383,0.020120,0.26634,0.06860,
206,0.129349,0.019520,0.26547,0.06890,
207,0.127455,0.019040,0.26562,0.06800,
208,0.128896,0.019300,0.26483,0.06750,
209,0.128820,0.019500,0.26593,0.06890,
210,0.132197,0.020680,0.26667,0.06820,
211,0.125570,0.017700,0.26532,0.06780,
212,0.128384,0.018600,0.26656,0.06760,
213,0.128253,0.018880,0.26687,0.06860,
214,0.129448,0.019920,0.26561,0.06720,
215,0.127964,0.018300,0.26658,0.06710,
216,0.128973,0.019260,0.26619,0.06790,
217,0.129282,0.019460,0.26605,0.06810,
218,0.129672,0.019940,0.26503,0.06760,
219,0.128443,0.018760,0.26484,0.06800,
220,0.128630,0.019580,0.26722,0.06830,
221,0.127443,0.018480,0.26644,0.06850,
222,0.127938,0.020220,0.26495,0.06800,
223,0.128247,0.019080,0.26524,0.06800,
224,0.127716,0.019740,0.26586,0.06850,
225,0.128363,0.019900,0.26558,0.06800,
226,0.127855,0.018820,0.26720,0.06850,
227,0.126102,0.018920,0.26630,0.06840,
228,0.127411,0.019140,0.26699,0.06810,
229,0.129468,0.019580,0.26662,0.06830,
230,0.125959,0.018380,0.26560,0.06790,
231,0.126624,0.018420,0.26586,0.06820,
232,0.129395,0.018860,0.26710,0.06810,
233,0.128513,0.019180,0.26623,0.06800,
234,0.127779,0.018660,0.26624,0.06770,
235,0.128950,0.019200,0.26641,0.06800,
236,0.128113,0.019140,0.26606,0.06810,
237,0.128428,0.019000,0.26669,0.06820,
238,0.126768,0.018080,0.26442,0.06780,
239,0.127180,0.019860,0.26547,0.06800,
240,0.127150,0.019280,0.26563,0.06760,
241,0.126883,0.018660,0.26552,0.06750,
242,0.126290,0.018520,0.26540,0.06800,
243,0.126336,0.018240,0.26527,0.06740,
244,0.126804,0.018720,0.26602,0.06730,
245,0.128008,0.018640,0.26713,0.06820,
246,0.130788,0.019300,0.26583,0.06800,
247,0.128450,0.019240,0.26572,0.06830,
248,0.128772,0.019120,0.26644,0.06790,
249,0.129116,0.019240,0.26636,0.06790,
250,0.127475,0.019020,0.26599,0.06740,
251,0.128929,0.019700,0.26579,0.06780,
252,0.127123,0.018560,0.26528,0.06790,
253,0.126447,0.018340,0.26635,0.06740,
254,0.125016,0.018080,0.26626,0.06740,
255,0.125196,0.018080,0.26793,0.06770,
256,0.128275,0.019440,0.26745,0.06830,
257,0.127288,0.018600,0.26629,0.06780,
258,0.126067,0.018740,0.26685,0.06810,
259,0.126754,0.018120,0.26575,0.06800,
260,0.124984,0.017780,0.26619,0.06810,
261,0.127171,0.019240,0.26750,0.06780,
262,0.127792,0.018960,0.26753,0.06820,
263,0.128729,0.019740,0.26783,0.06890,
264,0.126905,0.018200,0.26643,0.06810,
265,0.128628,0.019020,0.26641,0.06860,
266,0.125240,0.017960,0.26629,0.06800,
267,0.126807,0.018560,0.26643,0.06750,
268,0.127867,0.019160,0.26683,0.06840,
269,0.126735,0.018600,0.26704,0.06870,
